person age,person income,person emp length,loan amnt,loan int rate,loan percent income,cb person cred hist length,person home ownership MORTGAGE,person home ownership OTHER,person home ownership OWN,person home ownership RENT,loan intent DEBTCONSOLIDATION,loan intent EDUCATION,loan intent HOMEIMPROVEMENT,loan intent MEDICAL,loan intent PERSONAL,loan intent VENTURE,cb person default on file N,cb person default on file Y
0.21494542,0.23837842,0.29854333,0.08109815,0.97644556,0.63126886,0.30570844,0.03067286,0.00058482285,0.07406296,0.11161614,0.06403277,0.1521556,0.18357758,0.04028903,0.025479697,0.15739161,0.0367295,0.0021774035
0.22943097,0.1104813,0.29761276,0.009092792,1.0646893,1.6031344,0.14936276,0.07116625,0.0005857948,3.4825215,1.8168564,0.07618697,0.013511506,0.0794037,0.05798648,0.004261908,0.83728707,0.07827938,0.01063724
0.16355759,1.0837159,0.2010707,0.078890696,0.46017337,0.6279614,0.42778745,0.008648531,9.7581506e-05,0.07708299,0.2877498,0.10385615,0.017954484,0.07214698,0.07490789,0.21040414,0.13783962,0.08343339,0.0076868115
0.13892305,0.3185595,0.17197558,0.07596868,0.73563904,0.5683583,0.39909613,0.018866304,0.00057876535,0.112876214,0.15872325,0.15977561,0.029449372,0.14933036,0.011125822,0.0044235117,0.04000031,0.033004053,0.0017223365
0.067812555,0.85639423,0.19864704,0.16203901,2.5685751,0.6526512,0.13819405,0.21260779,0.00010250934,0.05825848,0.730705,0.24962392,0.07207442,0.13958529,0.30595732,0.017828163,0.73545897,0.07000344,0.004703736
0.18211423,0.47807768,0.11004191,0.019240241,1.700309,0.2967267,0.24992377,0.14941029,2.6450052e-05,0.10784831,0.65582883,0.20733058,0.32788837,0.05389811,0.23059718,0.013270321,0.07082083,0.008692983,0.0013700887
0.2316909,0.73386943,0.41879675,0.05572723,0.22351807,0.5431442,0.20446284,0.016515702,1.6661277e-05,3.046469,0.26684594,0.08060765,0.0150457295,0.05850603,0.059672102,0.007965732,0.81606644,0.07932063,0.038756754
0.1400751,0.91067326,0.21800785,0.23270154,1.308666,0.4187094,0.4631743,0.03296948,0.00039492425,0.07260788,0.31354257,0.08088891,0.014039784,0.077834405,0.06275932,0.21400723,0.14762251,0.08465772,0.007518774
0.15580003,0.7360102,0.27278537,0.19082244,0.01102448,0.4334298,0.120405726,0.028876388,0.00024439313,2.9720373,0.3140022,0.10731954,0.0016383844,0.050014645,0.075803034,0.023249911,0.65860385,0.080079034,0.004586342
0.006231197,0.945302,0.27617356,0.06777878,1.7756506,0.8916617,0.47496608,0.017328933,0.0001539942,0.064386144,0.13716748,0.074652165,0.055699654,0.19586916,0.056459676,0.02528146,0.13953033,0.049067307,0.0024154026
