feature,importance_dt,importance_rf,importance_xgb
5,0.2976227009603427,0.2548534241786954,0.121131174
4,0.3080353659561989,0.21104656100752636,0.06616018
1,0.1232626239850722,0.1368277744228415,0.04415854
10,0.07837192305877572,0.07234257263181695,0.13817082
3,0.005536720772194472,0.05262684155658461,0.018002845
7,0.0009901670020574112,0.04282926321148409,0.046322774
2,0.031096478632957072,0.03167307390215269,0.045206547
9,0.030526366218835532,0.02917636886720358,0.0987486
17,0.007571494385723644,0.026211475012643842,0.07348496
6,0.0071098641593791406,0.0247075784460548,0.06809525
18,0.002710715295696657,0.02213027607261183,0.023303315
0,0.01638589071935034,0.019342228787757595,0.037771024
13,0.024662778373944504,0.01763075401174906,0.044109125
16,0.013348858043724791,0.016383692206116317,0.05602299
11,0.020523475159013975,0.013893124588426134,0.038506635
14,0.031431505114026946,0.013611257329818119,0.031571478
12,0.0,0.00837071047070578,0.02576318
15,0.00015655709616590706,0.0059416691275066495,0.018380454
8,0.0006565150665400867,0.00040135416830467145,0.005090124
